"action",,"add, del, edit",,"Lägg till, ta bort, eller redigera en anknytning."
"attach","attach=no","attach=yes, attach=no","E-posta röstfilen",Ska röstfilen följa med meddelandet?"
"saycid","saycid=no","saycid=yes, saycid=no","Spela upp nummerpresentation","Spela upp uppringarens telefonnummer före uppspelning av röstbeskedet, denna uppspelning kommer att ske strax efter meddelande med datum och tid."
"envelope","envelope=no","envelope=yes, envelope=no","Spela upp datum och tid","Ska systemet spela upp datum och tid när meddelandet lämnades? Detta kommer att spelas upp före röstmeddelandet. Denna inställning påverkar inte valen i avancerade inställningar för röstbrevlådan."
"delete","delete=no","delete=yes, delete=no","Ta bort röstmeddelande","Om du sätter detta till "Ja" kommer meddelandet att tas bort från röstbrevlådan (efter att det har e-postats till dig). Denna inställning gör att röstbeskeden endast levereras via e-post i stället för att kunna höra dom via telefonen eller din webbläsare. VARNING: Du MÅSTE AKTIVERA s-posta meddelande ANNARS KOMMER DINA RÖSTBESKED ATT FÖRSVINNA FÖR ALLTID!!."
"options",,,"Val för röstbesked","Separera valen med ( | )<br><br>T.ex. review=yes|maxmessage=60"
"vmcontext","default",,"Sammanhang för röstbrevlådan","Detta är sammanhanget för röstbrevlådan, som standard är det satt till default. ÄNDRA INTE om du inte känner till vad som kommer att hända om du gör det."
"vmx_state",,"checked, (lämna blankt för att avaktivera)","VmX Lokator&trade;","Aktivera/Avaktivera VmX-lokatorn för denna användare. När detta val är aktiverat kan alla inställningar göras i Användarportalen. Om du avaktiverar detta kommer du inte att ta bort några inställningar med förhindrar tillgång till denna funktion"
"vmx_unavail_enabled",,"checked, (lämna blankt för att avaktivera)","Använd vid: otillgänglig",
"vmx_busy_enabled",,"checked, (lämna blankt för att avaktivera)","Använd vid: upptaget",
"vmx_play_instructions",,"checked, (lämna blankt för att avaktivera)","Instruktioner för röstmeddelande: Standardmeddelande för röstbrevlåda.","Avmarkera för att spela upp en ton efter din personliga hälsningsfras"
"vmx_option_0_system_default",,"checked, (lämna blankt för att avaktivera)","Gå till receptionist","Om uppringaren trycker 0 när din personliga hälsningsfras spelas upp kommer samtalet att kopplas till Receptionist. Avmarkera för att skriva in en annan destination. Denna funktion kan användas även om VmX är avaktiverad för att ge en möjlighet att nå en annan receptionist utan att ha aktiverat VmX för användaren/anknytningen."
"vmx_option_0_number",,,"Tryck 0:","Om uppringaren trycker 0 när din personliga hälsningsfras spelas upp kommer samtalet att kopplas till Receptionist. Avmarkera för att skriva in en annan destination. Denna funktion kan användas även om VmX är avaktiverad för att ge en möjlighet att nå en annan receptionist utan att ha aktiverat VmX för användaren/anknytningen."
"vmx_option_1_system_default",,"checked, (lämna blankt för att avaktivera)",,,
"vmx_option_1_number",,,"Tryck 1:","Återstående val kan vara interna anknytningar, ringgrupper, köer eller externa nummer som kommer att ringas upp vid respektive val. En vanlig åtgärd är att skriva in sitt mobilnummer för att få samtalet kopplat dit. Du bör testa så att detta fungerar så att du inte skickar samtalen fel eller till ett telefonnummer som inte fungerar."
"vmx_option_2_number",,,"Tryck 2:","Ange interna anknytning, ringgrupper, köer eller externt nummer.<br><br>Kom ihåg att spela in din personliga hälsningsfras för att låta uppringaren veta om detta val. Glöm inte att testa så att det nummer du skriver in fungerar."
"account",,,"Följ-mig: (Sidan Följ-mig)","Anknytning för konto."
"ddial",,"checked, (elle lämna blankt)","Avaktivera: (Sidan Följ-mige)","Som standard (inte aktiverad) kommer alla samtal till denna anknytning gå till Följ-mig. Om den är aktiverad kommer samtalen bara att gå till denna anknytning.<br>Men, destinationer som anger Följ-mig kommer hit.<br>Aktivering av detta val används ofta i samband med VmX Lokatorn, när du vill att samtalet ska ringa denna anknytning, och endast om uppringaren väljer att hitta dig kommer den hit."
"pre_ring","0","0-60","Ringtid: (Sidan Följ-mig)","Det antal sekunder som det ska ringa den primära anknytningen innan det ringer på Följ-mig listan, sätt 0 för att hoppa över denna tid. Denna anknytning kan vara inkluderad i Följ-mig listan."
"strategy","ringallv2","ringallv2, ringallv2-prim, ringall, ringall-prim, hunt, hunt-prim, memoryhunt, memoryhunt-prim, firstavailable, firstnotonphone","Ringstrategi: (Sidan Följ-mig)","<b>ringallv2</b>:  Ring på den primära anknytningen den tid som anges i Ringtid, därefter alla Följ-mig anknytningarna tills någon av dom svarar<br><b>ringall</b>: Ring alla tillgängliga nummer tills någon svarar (standard)<br><b>hunt</b>: Ring anknytningarna i tur och ordning<br><b>memoryhunt</b>: Ring första numret i listan, sedan 1:a och 2:a, därefter 1:a, 2:a och 3:e, ...... osv.<br><b>*-prim</b>:  Gör som i lägena ovan. Men, om den primära anknytningen (första numret i listan) är upptagen, kommer inga andra nummer att ringas. Om den primära anknytningen är IssabelPBX Stör-ej kommer en inte att ringas. Om den primära IssabelPBX Konstant Vidarekopplad, kommer alla att ringas<br><b>firstavailable</b>:  ring bara den första tillgängliga kanalen<b>firstnotonphone</b>:  ring bara den första kanalen som inte är upptagen - ignorera Samtal väntar<br>"
"grptime","20","0-60","Ringtid (max 60 sek) (Sidan Följ-mig)","Tid i sekunder som telefonen kommer att ringa. För alla hunt-strategier är detta tiden för varje runda av telefoner som rings"
"grplist","User's own extension",List of extensions (hyphen separated),"Följ-mig lista: (Sidan Följ-mig)","anknytning-anknytning-anknytning-... (anknytning är numerisk; separera flera anknytningar med -')<br><br>Du kan inkludera en anknytning på ett fjärrsystem, eller ett externt nummer genom att lägga till en fyrkant (#) i slutet på numret. T.ex. 040592400# kommer att ringa 040592400."
"annmsg_id","blank eller 0 (Noll)","inspelnings-id aktivt på systemet","Meddelande: (Sidan Följ-mig)","Meddelande som ska spelas upp för uppringaren innan det kommer att ringa denna grupp.<br><br>För att lägga till inspelningar, välj "Systeminspelningar" i menyn till vänster"
"ringing","Ring","Ring, default, none, eller annan aktiv klass med Pausmusik på systemet","Spela Pausmusik? (Sidan Följ-mig)","Om du valt Pausmusik i stället för 'Ring' kommer uppringaren att höra musik i stället för ringljud under tiden de väntar på att samtalet ska besvaras."
"grppre",,,"Prefix för nummerpresentation: (Sidan Följ-mig)","Du kan välja att skriva in ett prefix för nummerpresentation för anknytningarna i denna grupp. Om du valt att skriva "Support", kommer det att för ett samtal från 040123456 att stå "Support:040123456" på alla uppringda anknytningars textfönster."
"dring",,"Giltig alertinfo som hanteras av SIP-telefonen","Alertinfo: (Sidan Följ-mig)","Du kan valfritt ange en Alertinfo som används för att låta SIP-telefoner ringa annan signal."
"needsconf",,"Aktiverad eller blankt","Bekräfta samtal: (Sidan Följ-mig)","Aktivera detta om du ringer externa nummer som du vill ha bekräftelse från, t.ex. en mobiltelefon som ingen svarar i kommer att gå till röstbrevlådan som i sin tur kommer att svara på samtalet. Aktivering av detta val kräver att den uppringda trycker siffran 1 innan samtalet kopplas upp. Denna funktion fungerar bara med ringall/ringall-prim strategierna"
"remotealert_id","blankt eller 0 (Standard)","någon inspelnings-id aktiv på systemet","Fjärrmeddelande: (Sidan Följ-mig)","Meddelande att spela upp för den UPPRINGDE om 'Bekräfta samtal' är aktiverat.<br><br>För att lägga till inspelningar väljer du "Systeminspelningar" i menyn till vänster"
"toolate_id","blankt eller 0 (Standard)","någon inspelnings-id aktivt på systemet","För-sent meddelande: (Sidan Följ-mig)","Meddelande att spela upp för den UPPRINGDE, om samtalet redan har besvarats av annan part, innan denna uppringda har tryckt 1.<br><br>För att lägga till inspelningar väljer du "Systeminspelningar"i menyn till vänster"
"postdest",,"Text i formatet <b>context,exten,priority</b> som är en aktiv destination i nummerplanen på systemet","Destination vid inget svar: (Sidan Följ-mig)",
"faxenabled",,"true eller tomt","Aktiverad","Aktiveras fax om inställningen sätts till <b>true</b>. Om detta fält är tomt readeras faxinställningen"
"faxemail",,"Giltig e-postadress","E-post för fax","E-postadress dit mottagna fax skickas"
